title,certificate_type,rating,difficulty_level,no_students,content_duration,subject,About,description
(ISC)² Systems Security Certified Practitioner (SSCP),SPECIALIZATION,4.7,Beginner,5300.0,2.0,Cybersecurity,,
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,COURSE,4.7,Intermediate,17000.0,2.0,Web Development,,
A Crash Course in Data Science,COURSE,4.5,Mixed,130000.0,2.0,Data Science,,
A Law Student's Toolkit,COURSE,4.7,Mixed,91000.0,2.0,Other,,
A Life of Happiness and Fulfillment,COURSE,4.8,Mixed,320000.0,2.0,Natural Language Processing,,
ADHD: Everyday Strategies for Elementary Students,COURSE,4.7,Beginner,39000.0,2.0,Web Development,,
AI For Everyone,COURSE,4.8,Beginner,350000.0,2.0,Other,,
AI For Medical Treatment,COURSE,4.8,Intermediate,2400.0,2.0,Healthcare & Medicine,,
AI Foundations for Everyone,SPECIALIZATION,4.7,Beginner,61000.0,2.0,Other,,
AI for Medical Diagnosis,COURSE,4.7,Intermediate,12000.0,2.0,Healthcare & Medicine,,
AI for Medical Prognosis,COURSE,4.6,Intermediate,4000.0,2.0,Healthcare & Medicine,,
AI for Medicine,SPECIALIZATION,4.7,Intermediate,13000.0,2.0,Other,,
AWS Fundamentals,SPECIALIZATION,4.6,Beginner,130000.0,2.0,DevOps & Cloud Engineering,,
AWS Fundamentals: Addressing Security Risk,COURSE,4.3,Beginner,11000.0,2.0,Cybersecurity,,
AWS Fundamentals: Building Serverless Applications,COURSE,4.7,Beginner,27000.0,2.0,DevOps & Cloud Engineering,,
AWS Fundamentals: Going Cloud-Native,COURSE,4.7,Beginner,110000.0,2.0,Software Engineering,,
AWS Fundamentals: Migrating to the Cloud,COURSE,4.5,Intermediate,13000.0,2.0,DevOps & Cloud Engineering,,
Aboriginal Worldviews and Education,COURSE,4.7,Mixed,6600.0,2.0,Other,,
Academic English: Writing,SPECIALIZATION,4.7,Beginner,540000.0,2.0,3D Modeling & Animation,,
Accelerated Computer Science Fundamentals,SPECIALIZATION,4.7,Intermediate,22000.0,2.0,Other,,
Access Controls,COURSE,4.6,Beginner,2900.0,2.0,Other,,
Accounting Analytics,COURSE,4.5,Mixed,80000.0,2.0,Data Analytics & Business Intelligence,,
Accounting for Decision Making,COURSE,4.8,Intermediate,9900.0,2.0,Finance & Accounting,,
Achieving Personal and Professional Success,SPECIALIZATION,4.7,Beginner,110000.0,2.0,Other,,
Actualización en el manejo del paciente con diabetes mellitus tipo 2,COURSE,4.8,Mixed,23000.0,2.0,Other,,
Addiction Treatment: Clinical Skills for Healthcare Providers,COURSE,4.8,Beginner,9200.0,2.0,Healthcare & Medicine,,
Advanced Business Analytics,SPECIALIZATION,4.5,Intermediate,78000.0,2.0,Data Analytics & Business Intelligence,,
Advanced Data Science with IBM,SPECIALIZATION,4.4,Advanced,320000.0,2.0,Data Science,,
Advanced Machine Learning,SPECIALIZATION,4.5,Advanced,190000.0,2.0,Machine Learning,,
Advanced Machine Learning with TensorFlow on Google Cloud Platform,SPECIALIZATION,4.5,Advanced,35000.0,2.0,Software Engineering,,
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",COURSE,4.7,Advanced,29000.0,2.0,Finance & Accounting,,
Advertising and Society,COURSE,4.8,Mixed,14000.0,2.0,Cybersecurity,,
Age of Cathedrals,COURSE,4.7,Beginner,21000.0,2.0,Other,,
Agile Development,SPECIALIZATION,4.7,Beginner,94000.0,2.0,Project Management,,
Agile Meets Design Thinking,COURSE,4.7,Beginner,69000.0,2.0,Web Development,,
Agile with Atlassian Jira,COURSE,4.7,Beginner,40000.0,2.0,Project Management,,
Agile и Scrum в работе над проектами и продуктами,COURSE,4.9,Beginner,12000.0,2.0,Project Management,,
Algorithmic Toolbox,COURSE,4.7,Intermediate,220000.0,2.0,Software Engineering,,
Algorithms,SPECIALIZATION,4.8,Intermediate,150000.0,2.0,Software Engineering,,
Algorithms for Battery Management Systems,SPECIALIZATION,4.8,Intermediate,14000.0,2.0,Software Engineering,,
American Contract Law I,COURSE,4.9,Beginner,18000.0,2.0,Legal & Compliance,,
An Introduction to American Law,COURSE,4.8,Beginner,23000.0,2.0,Other,,
An Introduction to Consumer Neuroscience & Neuromarketing,COURSE,4.7,Beginner,69000.0,2.0,Robotics & Automation,,
An Introduction to Programming the Internet of Things (IOT),SPECIALIZATION,4.6,Beginner,270000.0,2.0,Embedded Systems & IoT,,
Analysing: Numeric and digital literacies,SPECIALIZATION,4.6,Beginner,7900.0,2.0,Software Engineering,,
Anatomy,SPECIALIZATION,4.8,Beginner,30000.0,2.0,Healthcare & Medicine,,
"Anatomy of the Chest, Abdomen, and Pelvis",COURSE,4.8,Intermediate,36000.0,2.0,Healthcare & Medicine,,
Anatomy: Musculoskeletal and Integumentary Systems,COURSE,4.8,Beginner,20000.0,2.0,Healthcare & Medicine,,
Ancient Philosophy: Aristotle and His Successors,COURSE,4.8,Mixed,8100.0,2.0,AR & VR Development,,
Android App Development,SPECIALIZATION,4.5,Beginner,120000.0,2.0,Mobile Development,,
Animal Behaviour and Welfare,COURSE,4.8,Mixed,71000.0,2.0,AR & VR Development,,
Antibiotic Stewardship,COURSE,4.5,Advanced,11000.0,2.0,Cloud Infrastructure,,
Anticorrupción: Introducción a conceptos y perspectiva práctica,COURSE,4.8,Beginner,11000.0,2.0,Other,,
Antimicrobial resistance - theory and methods,COURSE,4.6,Intermediate,63000.0,2.0,Data Analytics & Business Intelligence,,
Applied Data Science,SPECIALIZATION,4.6,Beginner,220000.0,2.0,Data Science,,
Applied Data Science Capstone,COURSE,4.7,Intermediate,42000.0,2.0,Data Science,,
Applied Data Science with Python,SPECIALIZATION,4.5,Intermediate,480000.0,2.0,Software Engineering,,
Applied Machine Learning in Python,COURSE,4.6,Intermediate,150000.0,2.0,Software Engineering,,
"Applied Plotting, Charting & Data Representation in Python",COURSE,4.6,Intermediate,97000.0,2.0,Software Engineering,,
Aprende a programar con Python,SPECIALIZATION,4.2,Beginner,6600.0,2.0,Software Engineering,,
Aprender,COURSE,4.8,Mixed,200000.0,2.0,Other,,
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),COURSE,4.9,Beginner,180000.0,2.0,Robotics & Automation,,
Architecting with Google Cloud Platform 日本語版,SPECIALIZATION,4.5,Intermediate,4200.0,2.0,Software Engineering,,
Architecting with Google Compute Engine,SPECIALIZATION,4.7,Intermediate,310000.0,2.0,Software Engineering,,
Architecting with Google Kubernetes Engine 日本語版,SPECIALIZATION,4.5,Beginner,3900.0,2.0,Software Engineering,,
Arizona State University TESOL,PROFESSIONAL CERTIFICATE,4.9,Beginner,150000.0,2.0,AR & VR Development,,
Art & Activity: Interactive Strategies for Engaging with Art,COURSE,4.8,Mixed,79000.0,2.0,Deep Learning,,
Art & Ideas: Teaching with Themes,COURSE,4.8,Mixed,31000.0,2.0,AR & VR Development,,
Arts and Culture Strategy,COURSE,4.6,Mixed,15000.0,2.0,Web Development,,
Arts and Heritage Management,COURSE,4.8,Mixed,15000.0,2.0,Web Development,,
Aspectos básicos de la planificación y la gestión de proyectos,COURSE,4.9,Beginner,10000.0,2.0,Other,,
Astrobiology and the Search for Extraterrestrial Life,COURSE,4.7,Mixed,66000.0,2.0,Web Development,,
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,COURSE,4.8,Intermediate,33000.0,2.0,Embedded Systems & IoT,,
Autism Spectrum Disorder,COURSE,4.6,Mixed,56000.0,2.0,Photography,,
Autodesk CAD/CAM for Manufacturing,SPECIALIZATION,4.8,Intermediate,7300.0,2.0,3D Modeling & Animation,,
Autodesk CAD/CAM/CAE for Mechanical Engineering,SPECIALIZATION,4.8,Intermediate,9200.0,2.0,3D Modeling & Animation,,
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,COURSE,4.7,Advanced,22000.0,2.0,3D Modeling & Animation,,
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,COURSE,4.7,Advanced,9700.0,2.0,Deep Learning,,
BIM Fundamentals for Engineers,COURSE,4.6,Beginner,13000.0,2.0,Data Analytics & Business Intelligence,,
Basic Statistics,COURSE,4.6,Beginner,180000.0,2.0,Data Science,,
Bayesian Statistics: From Concept to Data Analysis,COURSE,4.8,Intermediate,91000.0,2.0,Data Science,,
Bayesian Statistics: Techniques and Models,COURSE,4.8,Intermediate,29000.0,2.0,Data Science,,
Become a CBRS Certified Professional Installer by Google,COURSE,4.9,Mixed,210000.0,2.0,Software Engineering,,
Become a Journalist: Report the News!,SPECIALIZATION,4.7,Beginner,28000.0,2.0,Data Analytics & Business Intelligence,,
Become a Sustainable Business Change Agent,SPECIALIZATION,4.7,Intermediate,4200.0,2.0,Embedded Systems & IoT,,
Becoming a Sports Agent,COURSE,4.7,Beginner,6500.0,2.0,Web Development,,
Becoming a changemaker: Introduction to Social Innovation,COURSE,4.8,Beginner,61000.0,2.0,Cybersecurity,,
Behavioral Finance,COURSE,4.4,Mixed,55000.0,2.0,Finance & Accounting,,
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,COURSE,4.6,Mixed,2300.0,2.0,Software Engineering,,
Big Data – Introducción al uso práctico de datos masivos,SPECIALIZATION,4.5,Beginner,8800.0,2.0,Big Data & Data Engineering,,
Biohacking Your Brain's Health,COURSE,4.6,Beginner,35000.0,2.0,Cybersecurity,,
Biology Meets Programming: Bioinformatics for Beginners,COURSE,4.4,Beginner,88000.0,2.0,Web Development,,
Biostatistics in Public Health,SPECIALIZATION,4.8,Beginner,14000.0,2.0,Mobile Development,,
Blended Language Learning: Design and Practice for Teachers,COURSE,4.8,Intermediate,1900.0,2.0,Embedded Systems & IoT,,
Blockchain,SPECIALIZATION,4.6,Intermediate,68000.0,2.0,Blockchain & Web3,,
Blockchain Revolution,SPECIALIZATION,4.7,Beginner,21000.0,2.0,Blockchain & Web3,,
Blockchain Revolution in Financial Services,SPECIALIZATION,4.6,Beginner,1600.0,2.0,Blockchain & Web3,,
Blockchain: Foundations and Use Cases,COURSE,4.7,Beginner,31000.0,2.0,Blockchain & Web3,,
Boosting Creativity for Innovation,COURSE,4.9,Beginner,9500.0,2.0,Machine Learning,,
"Brand Management: Aligning Business, Brand and Behaviour",COURSE,4.9,Beginner,57000.0,2.0,Other,,
Branding: The Creative Journey,SPECIALIZATION,4.6,Beginner,26000.0,2.0,Digital Marketing,,
Budgeting and Scheduling Projects,COURSE,4.7,Mixed,84000.0,2.0,Web Development,,
Bugs 101: Insect-Human Interactions,COURSE,4.9,Beginner,15000.0,2.0,Other,,
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),COURSE,4.9,Mixed,95000.0,2.0,Other,,
Building Batch Data Pipelines on GCP,COURSE,4.5,Intermediate,7300.0,2.0,DevOps & Cloud Engineering,,
Building Conversational Experiences with Dialogflow,COURSE,4.5,Beginner,22000.0,2.0,Other,,
